"condor_memb","name","entity","tissue_type"
3,"AASDH","gene","ADIPOSE_TISSUE"
3,"ABCC10","gene","ADIPOSE_TISSUE"
3,"ABT1","gene","ADIPOSE_TISSUE"
2,"AFF1","gene","ADIPOSE_TISSUE"
3,"ANAPC7","gene","ADIPOSE_TISSUE"
3,"ANP32A","gene","ADIPOSE_TISSUE"
3,"APEX1","gene","ADIPOSE_TISSUE"
3,"ARL5B","gene","ADIPOSE_TISSUE"
3,"ASB7","gene","ADIPOSE_TISSUE"
3,"BAG5","gene","ADIPOSE_TISSUE"
2,"BCL11A","gene","ADIPOSE_TISSUE"
3,"BET1L","gene","ADIPOSE_TISSUE"
2,"BMP5","gene","ADIPOSE_TISSUE"
1,"BRCA1","gene","ADIPOSE_TISSUE"
3,"CCDC174","gene","ADIPOSE_TISSUE"
3,"CCDC184","gene","ADIPOSE_TISSUE"
2,"CDK8","gene","ADIPOSE_TISSUE"
1,"CDKN2C","gene","ADIPOSE_TISSUE"
1,"CEBPB","gene","ADIPOSE_TISSUE"
2,"CEP192","gene","ADIPOSE_TISSUE"
3,"CEP290","gene","ADIPOSE_TISSUE"
3,"CEPT1","gene","ADIPOSE_TISSUE"
3,"CHEK1","gene","ADIPOSE_TISSUE"
3,"CHERP","gene","ADIPOSE_TISSUE"
3,"CIAO3","gene","ADIPOSE_TISSUE"
3,"CLEC16A","gene","ADIPOSE_TISSUE"
3,"CNIH2","gene","ADIPOSE_TISSUE"
3,"CNPY1","gene","ADIPOSE_TISSUE"
1,"COA8","gene","ADIPOSE_TISSUE"
3,"COX4I1","gene","ADIPOSE_TISSUE"
1,"CRLS1","gene","ADIPOSE_TISSUE"
3,"CTNNBL1","gene","ADIPOSE_TISSUE"
3,"CWF19L2","gene","ADIPOSE_TISSUE"
3,"CYB5D2","gene","ADIPOSE_TISSUE"
3,"CZIB","gene","ADIPOSE_TISSUE"
3,"DCAF8","gene","ADIPOSE_TISSUE"
3,"DDI2","gene","ADIPOSE_TISSUE"
1,"DGCR6","gene","ADIPOSE_TISSUE"
1,"DLAT","gene","ADIPOSE_TISSUE"
3,"DNAI7","gene","ADIPOSE_TISSUE"
3,"DNAJC19","gene","ADIPOSE_TISSUE"
1,"DNTT","gene","ADIPOSE_TISSUE"
3,"DPH5","gene","ADIPOSE_TISSUE"
3,"DPY30","gene","ADIPOSE_TISSUE"
3,"DRAM2","gene","ADIPOSE_TISSUE"
3,"E4F1","gene","ADIPOSE_TISSUE"
3,"EED","gene","ADIPOSE_TISSUE"
3,"EEF1G","gene","ADIPOSE_TISSUE"
3,"EIF3D","gene","ADIPOSE_TISSUE"
3,"EIF3K","gene","ADIPOSE_TISSUE"
3,"EIF4A2","gene","ADIPOSE_TISSUE"
3,"EIF4B","gene","ADIPOSE_TISSUE"
3,"ELP3","gene","ADIPOSE_TISSUE"
3,"EMC8","gene","ADIPOSE_TISSUE"
3,"EPC2","gene","ADIPOSE_TISSUE"
3,"EPRS1","gene","ADIPOSE_TISSUE"
1,"ESYT1","gene","ADIPOSE_TISSUE"
2,"ETFDH","gene","ADIPOSE_TISSUE"
3,"ETFRF1","gene","ADIPOSE_TISSUE"
3,"FAAP100","gene","ADIPOSE_TISSUE"
3,"FAF1","gene","ADIPOSE_TISSUE"
3,"FAM174B","gene","ADIPOSE_TISSUE"
3,"FAM229B","gene","ADIPOSE_TISSUE"
3,"FKBP15","gene","ADIPOSE_TISSUE"
2,"FKTN","gene","ADIPOSE_TISSUE"
1,"GGCX","gene","ADIPOSE_TISSUE"
1,"GNL3","gene","ADIPOSE_TISSUE"
3,"GOLGA7","gene","ADIPOSE_TISSUE"
3,"HAP1","gene","ADIPOSE_TISSUE"
3,"HAX1","gene","ADIPOSE_TISSUE"
3,"HM13","gene","ADIPOSE_TISSUE"
2,"HMGA1","gene","ADIPOSE_TISSUE"
3,"HOXA10","gene","ADIPOSE_TISSUE"
1,"HOXA9","gene","ADIPOSE_TISSUE"
3,"HS2ST1","gene","ADIPOSE_TISSUE"
2,"IFT122","gene","ADIPOSE_TISSUE"
3,"IPO8","gene","ADIPOSE_TISSUE"
3,"ITFG1","gene","ADIPOSE_TISSUE"
3,"KIAA2013","gene","ADIPOSE_TISSUE"
1,"KIFBP","gene","ADIPOSE_TISSUE"
3,"KLC1","gene","ADIPOSE_TISSUE"
3,"KLHDC9","gene","ADIPOSE_TISSUE"
3,"KMT2A","gene","ADIPOSE_TISSUE"
3,"LEO1","gene","ADIPOSE_TISSUE"
3,"LINS1","gene","ADIPOSE_TISSUE"
3,"LRRCC1","gene","ADIPOSE_TISSUE"
3,"LSM4","gene","ADIPOSE_TISSUE"
3,"MAP4K1","gene","ADIPOSE_TISSUE"
3,"MBD4","gene","ADIPOSE_TISSUE"
2,"MCTS1","gene","ADIPOSE_TISSUE"
3,"ME2","gene","ADIPOSE_TISSUE"
3,"MED1","gene","ADIPOSE_TISSUE"
3,"MED29","gene","ADIPOSE_TISSUE"
2,"MEF2C","gene","ADIPOSE_TISSUE"
3,"MKS1","gene","ADIPOSE_TISSUE"
2,"MPC1","gene","ADIPOSE_TISSUE"
3,"MPND","gene","ADIPOSE_TISSUE"
3,"MRFAP1","gene","ADIPOSE_TISSUE"
1,"MRPL15","gene","ADIPOSE_TISSUE"
3,"MRPS12","gene","ADIPOSE_TISSUE"
3,"MRPS16","gene","ADIPOSE_TISSUE"
3,"MYB","gene","ADIPOSE_TISSUE"
1,"MYC","gene","ADIPOSE_TISSUE"
3,"MYO9A","gene","ADIPOSE_TISSUE"
3,"MZF1","gene","ADIPOSE_TISSUE"
3,"NAA30","gene","ADIPOSE_TISSUE"
2,"NAALADL2","gene","ADIPOSE_TISSUE"
1,"NAP1L2","gene","ADIPOSE_TISSUE"
3,"NBR1","gene","ADIPOSE_TISSUE"
3,"NCOA5","gene","ADIPOSE_TISSUE"
1,"ND6","gene","ADIPOSE_TISSUE"
3,"NDFIP2","gene","ADIPOSE_TISSUE"
1,"NDUFAB1","gene","ADIPOSE_TISSUE"
1,"NDUFS5","gene","ADIPOSE_TISSUE"
3,"NEURL4","gene","ADIPOSE_TISSUE"
1,"NME1","gene","ADIPOSE_TISSUE"
3,"NOL6","gene","ADIPOSE_TISSUE"
1,"NRAP","gene","ADIPOSE_TISSUE"
3,"NSUN5","gene","ADIPOSE_TISSUE"
2,"NSUN6","gene","ADIPOSE_TISSUE"
3,"NUDT9","gene","ADIPOSE_TISSUE"
3,"PAF1","gene","ADIPOSE_TISSUE"
3,"PARG","gene","ADIPOSE_TISSUE"
3,"PARP1","gene","ADIPOSE_TISSUE"
3,"PBRM1","gene","ADIPOSE_TISSUE"
3,"PCNX4","gene","ADIPOSE_TISSUE"
2,"PDE4D","gene","ADIPOSE_TISSUE"
3,"PDPR","gene","ADIPOSE_TISSUE"
3,"PDSS2","gene","ADIPOSE_TISSUE"
3,"PHAF1","gene","ADIPOSE_TISSUE"
3,"PHF6","gene","ADIPOSE_TISSUE"
2,"PHF8","gene","ADIPOSE_TISSUE"
3,"PHKB","gene","ADIPOSE_TISSUE"
3,"PIGK","gene","ADIPOSE_TISSUE"
