"","ADIPOSE_TISSUE","ADRENAL_GLAND","BLADDER","BLOOD","BLOOD_VESSEL","BONE_MARROW","BRAIN","BREAST","CERVIX_UTERI","COLON","ESOPHAGUS","FALLOPIAN_TUBE","HEART","KIDNEY","LIVER","LUNG","MUSCLE","NERVE","OVARY","PANCREAS","PITUITARY","PROSTATE","SALIVARY_GLAND","SKIN","SMALL_INTESTINE","SPLEEN","STOMACH","TESTIS","THYROID","UTERUS","VAGINA"
"ABL1",-0.0553863238679198,0.0196195402128661,0.00671456139263101,-0.719965863190462,0.14593534100162,0.240741389961485,0.0579800133359805,0.00499729152593094,-0.281787391409287,0.0703711216942107,-0.271889116319702,0.0149977756447835,-0.0558748972157722,-0.0521652376976808,-0.0409003231406889,-0.101953552940021,-0.429439925066522,-0.311533090536068,-0.0995957826411817,-0.254644612045902,1.24705919162024,0.0647338819944314,0.226677616092137,0.105526738235918,-0.0449858228106236,-0.244405653451624,0.094478501499005,0.323252514861449,-0.0693086410618727,0.128996811343439,-0.570759184980796
"AEBP1",-2.53487090748074,-0.629026460155072,-0.331580595544444,-1.20386434053145,-1.00679556113613,0.24558221669747,-0.102911753446034,-1.87916731761767,-0.290877676253968,-0.285389521436877,0.248028107450665,-0.425207557901275,-0.0647390620645563,-0.163357617179829,0.35254187704655,0.109723199530115,0.0656344242317891,-0.133549830098542,-0.859793538178524,-0.229905253075609,0.265038233913808,-0.20920571850538,0.121955595087047,-0.273948369821473,0.0758828982984613,0.066557160837976,-0.133104558007217,0.100617741717086,-0.228369083362392,-0.731256601204264,0.593057485963441
"AHR",-0.348506958758067,0.100683142703825,-0.182070177440705,-0.124799385512087,-0.938515233843742,0.181414920234011,-0.0639297176802526,-0.300025193274466,-0.284364763003407,0.0104214124711876,-0.0916730677446209,-0.203852751039781,0.0209690515508207,0.0187905025277173,-1.18585224314562,-0.190094961067994,-0.65415128279616,-0.121290917354861,-0.14686179627953,-0.0294185820544458,3.62822704419812,-0.0987781540362805,-0.361740721129971,-0.178867593081554,-0.0940546209187541,-0.0403706548457514,-0.0360020882862911,-0.491833862123639,-0.216015862721733,-0.435919089791599,-0.413090762917888
"AHRR",-0.224867387984026,0.112287409868068,-0.10221512035059,0.163925428976172,0.12908930635978,-0.510585172874232,-0.0198011150424458,-0.228076121528589,0.0759162357445176,-0.0599210967147988,0.0609350367022665,-0.00440830243278932,0.00657304036855951,-0.00244567550223802,-0.000749821312905492,0.0516885474768054,-0.383169708961401,-0.339163391740036,0.138507819959979,0.121150967351266,-0.179145293602153,-0.0670191344234683,0.253094966503955,-0.0270330092621557,-0.129238043711699,0.022400727821094,0.0922805703461172,0.070398323979663,-0.0308679236588161,0.00768975953171202,0.214699293837855
"AIP",0.03756933002904,0.0774276563876232,0.169688918382716,-0.887001460398011,0.110844268734531,-0.0373136912015907,0.067782318324544,-0.012703418377552,0.0565370310289488,0.109742920257114,0.0359561869125696,0.0769384840199412,0.181140137759752,-0.0286398890639019,-0.0681398196525722,-0.13830288741443,0.440604101426061,0.183366004478166,-0.14905119620835,0.181153112550639,-0.514985994937849,-0.00230967153989245,0.1845219071157,0.872033314290218,-0.0231376263789505,-0.429133704588756,-0.51984432087573,0.121152690943532,0.212362051834371,0.111315114360019,0.0908755448661904
"AIRE",-0.101453579991035,-0.134273020704635,0.00245351244325473,-2.34619803495373,-0.0566666642438417,-0.108952994566424,-0.0608333069492348,-0.127315972675812,-0.162063793142559,0.0221444761762497,0.337533078789101,0.0935080619871939,-0.331398273630285,-0.132576497685056,-1.20921324172155,-0.585810002554637,-0.0774311712093747,-0.125417934103598,-0.120112166152125,0.0569499611934065,-1.63048695681971,0.0185078215610333,-0.33259230367624,-0.567898052894802,-0.17968451255251,-0.333908850254004,0.0610917324241329,-0.21468995311037,1.50312761504433,-0.103343229202759,0.254126305777936
"AP1",-0.011001435271437,-0.152053749198813,0.0150215849805128,2.48637388416522,0.0779297793989736,-0.800498021775627,-0.0333659665307048,-0.113843669052981,-0.283146755257751,0.12641782641169,0.0122759850828513,0.0176128648882527,-0.468382007121089,-0.0640391892450379,-0.741149539762399,-0.418248379759565,-1.32374995435568,-0.176644328436411,-0.286810020226473,-0.377152943766454,-2.16156152430904,-0.148464036813669,-0.142093409766155,-0.239417709122707,-0.202571048882518,0.190677106702268,-0.173656280243483,-0.0112589884779705,-0.048501788642078,-0.0297134382923601,-0.288191878058402
"APEX1",0.507484577007458,-0.187527523905718,0.693878498963966,-1.18404914413362,1.54128344334396,0.260215280791357,0.0300647120582346,0.591057270416347,0.611108796911831,0.749733781997405,0.59040716449032,1.01740558484751,-0.0404063495515951,0.00778673565688256,-0.54848754922201,0.139958060490706,0.239486578403482,3.40103259151109,0.0838089105613723,-0.240114998096537,0.144807051866964,0.273259804582737,-0.121719502822964,0.256442253750987,0.26464988902327,0.138423197390338,0.452835783439635,0.0355650835072374,1.17683437170083,1.22688027666079,0.3195640391499
"AR",0.267145044651646,0.758049276583735,0.462678997652721,1.12589558627176,0.574628025923992,0.486464026626908,0.137991119006789,0.340710031532933,0.794985730401408,0.372020735857426,0.54633912323835,0.630137357607144,-0.0964162644542032,0.131381442045198,0.612071607708623,0.687818281442454,0.961985854464913,0.234486502709336,0.610191499423151,0.0272426789026168,2.26864238120713,0.750921844635889,0.695595999085808,1.01038188877439,0.286505718710784,1.02261431947975,1.6001765384253,0.231332081681731,0.550285289569511,0.712635884659878,0.926976549814824
"ARID1A",-0.261890992861098,-0.0481372907926064,-0.867264697737807,-1.82249549638438,-1.89850490013588,-0.213977289273998,-0.038637729777991,-0.28875133741894,-0.802604770480342,-0.8614534471855,-0.652287868654761,-0.966754166424725,-0.0108093472348453,-0.144377549030888,-0.104937327910832,-0.669110770997231,0.0407580428754354,-0.475465738734871,-0.341068591304865,0.0754309938296663,-0.129942214805338,-0.624493682341954,-0.0545481100207917,-1.0285134590746,-0.367665417240366,-0.458865710976788,-0.300609264718292,-0.139331315202667,-0.248752535518236,-1.69387775156857,-0.698993744285598
