Folder path: /data/user/jbarham3/230323_JW_DiseaseNetworks/results/PANDA
file1 gtex_BLOOD_VESSEL_PANDA.Rdata 
file2 gtex_BRAIN_PANDA.Rdata 
GTEx Tissue: gtex BLOOD   gtex 
Tissue tType: VESSEL   BRAIN 
File path: /data/user/jbarham3/230323_JW_DiseaseNetworks/results/PANDA/gtex_BLOOD_VESSEL_PANDA.Rdata /data/user/jbarham3/230323_JW_DiseaseNetworks/results/PANDA/gtex_BRAIN_PANDA.Rdata 
[1] "Detecting communities in control network..."
[1] "modularity of projected graph 0.223858081326169"
[1] "Q = 0.225158029783805"
[1] "Q = 0.225170406826519"
[1] "Q = 0.225170406826519"
[1] "Computing differential modularity matrix..."
[1] "Computing differential modules..."
[1] "Merging 24042 communities"
[1] 1
[1] 2
[1] 3
[1] 4
[1] 5
[1] 6
[1] 7
[1] 8
[1] "Merging 49 communities"
[1] 1
[1] 2
[1] "Merging 43 communities"
[1] 1
[1] "Computing node scores..."
[1] 1
[1] 2
[1] 3
[1] 4
[1] 5
[1] 6
[1] 7
[1] 8
[1] 9
[1] 10
[1] 11
[1] 12
[1] 13
[1] 14
[1] 15
[1] 16
[1] 17
[1] 18
[1] 19
[1] 20
[1] 21
[1] 22
[1] 23
[1] 24
[1] 25
[1] 26
[1] 27
[1] 28
[1] 29
[1] 30
[1] 31
[1] 32
[1] 33
[1] 34
[1] 35
[1] 36
[1] 37
[1] 38
[1] 39
[1] 40
[1] 41
[1] 42
[1] 43
Alpaca input dimensions: 25476341 4 
